Probe_Set_ID	Lsmean_ A _expanding	Lsmean_ A_fullexpand	Lsmean_A_primordia	Lsmean_ E_expanding	Lsmean_ E_fullexpand	Lsmean_E_primordia
245289_at	2.081055	2.660767	1.636719	2.300618	2.763672	1.532959
245290_at	-0.27376	0.364624	-0.76294	-0.16911	0.222412	-1.00439
245291_at	1.931315	1.403442	1.679199	1.523275	1.036377	1.658936
245292_at	-1.27051	-1.172	-1.33276	-1.46012	-0.98535	-1.43262
245293_at	0.484049	0.729858	0.522705	0.864421	1.212891	0.518555
245294_at	-0.04655	-0.02869	-0.55762	-0.08708	-0.01563	-0.63721
245295_at	-1.06868	-0.87952	-1.06689	-0.90055	-0.68311	-1.03174
245296_at	2.930664	2.569458	0.402588	2.979004	2.40332	0.592773
245297_at	-1.35059	-1.31116	-1.19312	-1.52425	-1.43994	-1.13916
245298_at	-0.5791	-0.35046	-0.38306	-0.53369	-0.2124	-0.48804
245299_at	1.640951	1.667603	1.811035	1.769368	1.797363	1.767822
245301_at	0.388346	-0.32312	1.156738	0.10791	-0.47021	1.148193
245302_at	-2.14486	-1.35022	-1.41821	-1.73551	-1.25439	-1.62183
245303_at	-1.2002	-1.3197	-0.68164	-1.20719	-1.02905	-0.62109
245304_at	1.489258	1.597778	1.538086	1.387858	1.69873	1.474854
245307_at	-0.44694	0.16272	-0.67139	-0.45557	0.070068	-0.79639
245308_at	0.085612	-0.05945	0.195313	0.027507	0.001221	0.047607
245309_at	-2.11621	-2.547	-0.01831	-2.19255	-2.4585	-0.08325
245310_at	-0.31771	-0.34802	0.259033	-0.26546	-0.45557	0.07666
245311_at	4.320638	3.436157	5.078125	4.077311	3.419922	5.077881
245312_at	-1.68229	-1.82166	-1.26367	-2.01383	-1.45239	-1.42578
245313_at	0.228841	0.332153	0.094238	0.227376	0.517822	-0.01636
245315_at	2.030924	2.210083	2.388184	1.906087	2.044434	2.405518
245316_at	0.096354	-0.33215	0.906738	-0.15609	-0.3916	0.929443
245318_at	4.65332	4.610474	2.918457	4.585124	4.3125	3.16626
245319_at	1.480794	1.2677	0.98999	1.471191	0.916992	0.939697
245320_at	-0.03776	0.09021	0.262695	-0.0887	0.290527	0.090088
245321_at	4.802409	4.840942	2.92041	4.773275	4.631348	2.871826
245323_at	1.265299	1.119263	1.767578	1.366374	1.251953	1.686279
245324_at	-0.21452	-0.72083	1.193359	-0.21826	-0.51904	1.087646
245326_at	0.502279	0.613159	0.224365	0.383301	0.521484	0.241699
245327_at	-1.78613	-1.66809	-1.27954	-1.81527	-1.47437	-1.49194
